,,"Manner",,,,,,,,"Laryngeal",,,"Place",,,,,,,,,,,,,
,,"consonantal","sonorant","continuant","delayed release","approximant","tap","trill","nasal","voice","spread gl","constricted gl","labial","round","labiodental","coronal","anterior","distributed","strident","lateral","dorsal","high","low","front","back","tense"
"bilabial","p",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"b",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"ɸ",1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"β",1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"m",1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"ʙ",1,1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
"labiodental","p͡f",1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,0,-1,-1,0,0,0,0,0
,"f",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,0,-1,-1,0,0,0,0,0
,"v",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,0,0,-1,-1,0,0,0,0,0
,"ɱ",1,1,-1,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,0,0,0,-1,-1,0,0,0,0,0
,"ʋ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0,0,0,-1,-1,0,0,0,0,0
"dental","t̪",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,0
,"d̪",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,0
,"θ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,0
,"ð",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,0,0,0,0
"alveolar","t",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,0
,"d",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,0
,"t͡s",1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,0,0,0,0
,"d͡z",1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,0,0,0,0
,"t͡ɬ",1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,0,0,0,0
,"s",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,0,0,0,0
,"z",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,0,0,0,0
,"n",1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,0
,"l",1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,0,0,0,0
,"ɬ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,0,0,0,0
,"ɮ",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,0,0,0,0
,"ɾ",1,1,1,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,0
,"ɺ",1,1,1,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,0,0,0,0
,"r",1,1,1,0,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,0
"Palato-alveolar","ʧ",1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,0,0,0
,"ʤ",1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,0,0,0
,"ʃ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,0,0,0
,"ʒ",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,0,0,0
,"ɹ",1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0,0,0,0,0
"retroflex","ʈ",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0
,"ɖ",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0
,"ʂ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,0,0,0
,"ʐ",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,0,0,0
,"ɳ",1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0
,"ɭ",1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0,0,0,0,0
,"ɽ",1,1,1,0,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0
,"ɻ",1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0
"fronted velar","k̘",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,0
,"g̘",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,0
,"ɡ̘",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,0
,"x̘",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,0
,"j",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,1
"velar","k",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"g",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"ɡ",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"ŋ",1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"k͡x",1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"x",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"ɣ",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"ʟ",1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,1,-1,0,0,0
"back velar","k̙",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,0
,"g̙",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,0
,"ɡ̙",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,0
,"x̙",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,0
,"ɣ̙",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,0
"uvular","q",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,0
,"ɢ",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,0
,"χ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,0
,"ʁ",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,0
,"ɴ",1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,0
,"ʀ",1,1,1,0,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,0
"pharyngeal","ħ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,1,-1,1,0
,"ʕ",1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,1,-1,1,0
"glottal","ʔ",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"h",-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
,"ɦ",-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0
"Labial-back velar","w",-1,1,1,0,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,0,0,0,-1,1,1,-1,-1,1,1
,"ʍ",-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,0,0,0,-1,1,1,-1,-1,1,1
"Labial-velar","k͡p",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
,"ɡ͡b",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0
"Labial-front velar","ɥ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,0,0,0,-1,1,1,-1,1,-1,1
"alveolopalatal","t͡ɕ",1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,1,1,-1,1,-1,0
,"d͡ʑ",1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,1,1,-1,1,1,-1,1,-1,0
,"ɕ",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,1,1,-1,1,-1,0
,"ʑ",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,1,1,-1,1,1,-1,1,-1,0
"palatal","c",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,1,1,-1,1,-1,0
,"ɟ",1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,1,-1,-1,1,1,-1,1,-1,0
,"ç",1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,1,1,-1,1,-1,0
,"ʝ",1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,1,-1,-1,1,1,-1,1,-1,0
,"ɲ",1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,0,1,-1,-1,1,1,-1,1,-1,0
,"ʎ",1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,1,-1,1,1,1,-1,1,-1,0
"high tense","i",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,1
,"y",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,1,-1,1,-1,1
,"ɨ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,-1,1
,"ʉ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,1,-1,-1,-1,1
,"ɯ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,1
,"u",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,1,-1,-1,1,1
"high lax","ɪ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,-1
,"ʏ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,1,-1,1,-1,-1
,"ʊ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,1,-1,-1,1,-1
"mid tense","e",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,1,-1,1
,"ø",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,1,-1,1
,"ɘ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,-1,1
,"ɵ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,-1,-1,1
,"ɤ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,1
,"o",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,1
"mid lax","ɛ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,1,-1,-1
,"œ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,1,-1,-1
,"ɚ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,"ə",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,-1,-1
,"ɞ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,-1,-1,-1
,"ʌ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,-1
,"ɔ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,-1
"low","æ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,1,1,-1,0
,"ɶ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,1,1,-1,0
,"a",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,1,-1,-1,0
,"ɑ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,1,-1,1,0
,"ɒ",-1,1,1,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,1,-1,1,0
"high tense","ĩ",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,1
,"ỹ",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,1,-1,1,-1,1
,"ɨ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,-1,1
,"ʉ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,1,-1,-1,-1,1
,"ɯ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,-1,1,1
,"ũ",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,1,-1,-1,1,1
"high lax","ɪ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-1,1,-1,-1
,"ʏ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,1,-1,1,-1,-1
,"ʊ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,1,-1,-1,1,-1
"mid tense","ẽ",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,1,-1,1
,"ø̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,1,-1,1
,"ɘ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,-1,1
,"ɵ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,-1,-1,1
,"ɤ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,1
,"õ",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,1
"mid lax","ɛ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,1,-1,-1
,"œ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,1,-1,-1
,"ə̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,-1,-1
,"ɞ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,-1,-1,-1
,"ʌ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,-1
,"ɔ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,-1,-1,1,-1
"low","æ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,1,1,-1,0
,"ɶ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,1,1,-1,0
,"ã",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,1,-1,-1,0
,"ɑ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,-1,1,-1,1,0
,"ɒ̃",-1,1,1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1,-1,1,-1,1,0
